Paper Name,Paper Author,Paper Key Words,Issue Date
Overconfidence in Political Behavior,Pietro Ortoleva;Erik Snowberg,"C83 Survey Methods; Sampling Methods;D03 Behavioral Microeconomics: Underlying Principles;D72 Political Processes: Rent-seeking, Lobbying, Elections, Legislatures, and Voting Behavior;D83 Search; Learning; Information and Knowledge; Communication; Belief; Unawareness","February 2015 (Vol. 105, No.2 )"
Robustness and Linear Contracts,Gabriel Carroll,D81 Criteria for Decision-Making under Risk and Uncertainty;D82 Asymmetric and Private Information; Mechanism Design;D86 Economics of Contract: Theory,"February 2015 (Vol. 105, No.2 )"
Systemic Risk and Stability in Financial Networks,Daron Acemoglu;Asuman Ozdaglar;Alireza Tahbaz-Salehi,D85 Network Formation and Analysis: Theory;E44 Financial Markets and the Macroeconomy;G21 Banks; Depository Institutions; Micro Finance Institutions; Mortgages;G28 Financial Institutions and Services: Government Policy and Regulation;L14 Transactional Relationships; Contracts and Reputation; Networks,"February 2015 (Vol. 105, No.2 )"
"Price Subsidies, Diagnostic Tests, and Targeting of Malaria Treatment: Evidence from a Randomized Controlled Trial",Jessica Cohen;Pascaline Dupas;Simone Schaner,D12 Consumer Economics: Empirical Analysis;D82 Asymmetric and Private Information; Mechanism Design;I12 Health Behavior;O12 Microeconomic Analyses of Economic Development;O15 Economic Development: Human Resources; Human Development; Income Distribution; Migration,"February 2015 (Vol. 105, No.2 )"
Self-Confirming Equilibrium and Model Uncertainty,Pierpaolo Battigalli;Simone Cerreia-Vioglio;Fabio Maccheroni;Massimo Marinacci,C72 Noncooperative Games;C73 Stochastic and Dynamic Games; Evolutionary Games; Repeated Games;D81 Criteria for Decision-Making under Risk and Uncertainty;D83 Search; Learning; Information and Knowledge; Communication; Belief; Unawareness,"February 2015 (Vol. 105, No.2 )"
"Environmental Health Risks and Housing Values: Evidence from 1,600 Toxic Plant Openings and Closings",Janet Currie;Lucas Davis;Michael Greenstone;Reed Walker,"I12 Health Behavior;L60 Industry Studies: Manufacturing: General;Q52 Pollution Control Adoption and Costs; Distributional Effects; Employment Effects;Q53 Air Pollution; Water Pollution; Noise; Hazardous Waste; Solid Waste; Recycling;Q58 Environmental Economics: Government Policy;R23 Urban, Rural, Regional, Real Estate, and Transportation Economics: Regional Migration; Regional Labor Markets; Population; Neighborhood Characteristics;R31 Housing Supply and Markets","February 2015 (Vol. 105, No.2 )"
Bankruptcy as Implicit Health Insurance,Neale Mahoney,"D14 Household Saving; Personal Finance;H51 National Government Expenditures and Health;I13 Health Insurance, Public and Private;K35 Personal Bankruptcy Law","February 2015 (Vol. 105, No.2 )"
Leader Punishment and Cooperation in Groups: Experimental Field Evidence from Commons Management in Ethiopia,Michael Kosfeld;Devesh Rustagi,C93 Field Experiments;D03 Behavioral Microeconomics: Underlying Principles;O13 Economic Development: Agriculture; Natural Resources; Energy; Environment; Other Primary Products;Q23 Renewable Resources and Conservation: Forestry,"February 2015 (Vol. 105, No.2 )"
The Price of Experience,Hyeok Jeong;Yong Kim;Iourii Manovskii,"D91 Intertemporal Household Choice; Life Cycle Models and Saving;E24 Employment; Unemployment; Wages; Intergenerational Income Distribution; Aggregate Human Capital; Aggregate Labor Productivity;I23 Higher Education; Research Institutions;J11 Demographic Trends, Macroeconomic Effects, and Forecasts;J24 Human Capital; Skills; Occupational Choice; Labor Productivity;J31 Wage Level and Structure; Wage Differentials","February 2015 (Vol. 105, No.2 )"
Optimal Life Cycle Unemployment Insurance,Claudio Michelacci;Hernn Ruffo,"D91 Intertemporal Household Choice; Life Cycle Models and Saving;E24 Employment; Unemployment; Wages; Intergenerational Income Distribution; Aggregate Human Capital; Aggregate Labor Productivity;J13 Fertility; Family Planning; Child Care; Children; Youth;J64 Unemployment: Models, Duration, Incidence, and Job Search;J65 Unemployment Insurance; Severance Pay; Plant Closings","February 2015 (Vol. 105, No.2 )"
Evidence for Countercyclical Risk Aversion: An Experiment with Financial Professionals,Alain Cohn;Jan Engelmann;Ernst Fehr;Michel Andr Marchal,E32 Business Fluctuations; Cycles;E44 Financial Markets and the Macroeconomy;G01 Financial Crises;G11 Portfolio Choice; Investment Decisions;G12 Asset Pricing; Trading Volume; Bond Interest Rates,"February 2015 (Vol. 105, No.2 )"
Information Disclosure as a Matching Mechanism: Theory and Evidence from a Field Experiment,Steven Tadelis;Florian Zettelmeyer,C93 Field Experiments;D44 Auctions;D82 Asymmetric and Private Information; Mechanism Design;L15 Information and Product Quality; Standardization and Compatibility,"February 2015 (Vol. 105, No.2 )"
"Thar SHE Blows? Gender, Competition, and Bubbles in Experimental Asset Markets",Catherine C. Eckel;Sascha C. Fllbrunn,D14 Household Saving; Personal Finance;D81 Criteria for Decision-Making under Risk and Uncertainty;G01 Financial Crises;G11 Portfolio Choice; Investment Decisions;J16 Economics of Gender; Non-labor Discrimination,"February 2015 (Vol. 105, No.2 )"
"Price Reaction to Information with Heterogeneous Beliefs and Wealth Effects: Underreaction, Momentum, and Reversal",Marco Ottaviani;Peter Norman Srensen,D83 Search; Learning; Information and Knowledge; Communication; Belief; Unawareness;D84 Expectations; Speculations;G11 Portfolio Choice; Investment Decisions;G12 Asset Pricing; Trading Volume; Bond Interest Rates;G14 Information and Market Efficiency; Event Studies; Insider Trading,"January 2015 (Vol. 105, No.1 )"
Infrastructure Quality and the Subsidy Trap,Shaun McRae,H23 Taxation and Subsidies: Externalities; Redistributive Effects; Environmental Taxes and Subsidies;H54 National Government Expenditures and Related Policies: Infrastructures; Other Public Investment and Capital Stock;L94 Electric Utilities;L98 Industry Studies: Utilities and Transportation: Government Policy;O12 Microeconomic Analyses of Economic Development;O13 Economic Development: Agriculture; Natural Resources; Energy; Environment; Other Primary Products,"January 2015 (Vol. 105, No.1 )"
Efficient Matching under Distributional Constraints: Theory and Applications,Yuichiro Kamada;Fuhito Kojima,"C70 Game Theory and Bargaining Theory: General;D61 Allocative Efficiency; Cost-Benefit Analysis;D63 Equity, Justice, Inequality, and Other Normative Criteria and Measurement","January 2015 (Vol. 105, No.1 )"
Teacher Quality Policy When Supply Matters,Jesse Rothstein,I21 Analysis of Education;J22 Time Allocation and Labor Supply;J23 Labor Demand;J24 Human Capital; Skills; Occupational Choice; Labor Productivity;J31 Wage Level and Structure; Wage Differentials;J41 Labor Contracts;J45 Public Sector Labor Markets,"January 2015 (Vol. 105, No.1 )"
Reallocation and Technology: Evidence from the US Steel Industry,Allan Collard-Wexler;Jan De Loecker,"D24 Production; Cost; Capital; Capital, Total Factor, and Multifactor Productivity; Capacity;L13 Oligopoly and Other Imperfect Markets;L23 Organization of Production;L61 Metals and Metal Products; Cement; Glass; Ceramics;M11 Production Management;O31 Innovation and Invention: Processes and Incentives;O33 Technological Change: Choices and Consequences; Diffusion Processes","January 2015 (Vol. 105, No.1 )"
Mergers When Prices Are Negotiated: Evidence from the Hospital Industry,Gautam Gowrisankaran;Aviv Nevo;Robert Town,"C78 Bargaining Theory; Matching Theory;G34 Mergers; Acquisitions; Restructuring; Voting; Proxy Contests; Corporate Governance;I11 Analysis of Health Care Markets;I13 Health Insurance, Public and Private;L13 Oligopoly and Other Imperfect Markets","January 2015 (Vol. 105, No.1 )"
Paying Attention or Paying Too Much in Medicare Part D,Jonathan D. Ketcham;Claudio Lucarelli;Christopher A. Powers,"H51 National Government Expenditures and Health;I13 Health Insurance, Public and Private;I18 Health: Government Policy; Regulation; Public Health","January 2015 (Vol. 105, No.1 )"
"Cellular Service Demand: Biased Beliefs, Learning, and Bill Shock",Michael D. Grubb;Matthew Osborne,"D12 Consumer Economics: Empirical Analysis;D18 Consumer Protection;L11 Production, Pricing, and Market Structure; Size Distribution of Firms;L96 Telecommunications;L98 Industry Studies: Utilities and Transportation: Government Policy","January 2015 (Vol. 105, No.1 )"
Rational Inattention to Discrete Choices: A New Foundation for the Multinomial Logit Model,Filip Matjka;Alisdair McKay,D11 Consumer Economics: Theory;D81 Criteria for Decision-Making under Risk and Uncertainty;D83 Search; Learning; Information and Knowledge; Communication; Belief; Unawareness,"January 2015 (Vol. 105, No.1 )"
Revealed (P)Reference Theory,Efe A. Ok;Pietro Ortoleva;Gil Riella,D11 Consumer Economics: Theory;D81 Criteria for Decision-Making under Risk and Uncertainty,"January 2015 (Vol. 105, No.1 )"
How Do Voters Respond to Information? Evidence from a Randomized Campaign,Chad Kendall;Tommaso Nannicini;Francesco Trebbi,"D12 Consumer Economics: Empirical Analysis;D72 Political Processes: Rent-seeking, Lobbying, Elections, Legislatures, and Voting Behavior;D83 Search; Learning; Information and Knowledge; Communication; Belief; Unawareness","January 2015 (Vol. 105, No.1 )"
Institutional Corruption and Election Fraud: Evidence from a Field Experiment in Afghanistan,Michael Callen;James D. Long,"C93 Field Experiments;D02 Institutions: Design, Formation, Operations, and Impact;D72 Political Processes: Rent-seeking, Lobbying, Elections, Legislatures, and Voting Behavior;K42 Illegal Behavior and the Enforcement of Law;O17 Formal and Informal Sectors; Shadow Economy; Institutional Arrangements","January 2015 (Vol. 105, No.1 )"
The Effect of the TseTse Fly on African Development,Marcella Alsan,"I12 Health Behavior;N57 Economic History: Agriculture, Natural Resources, Environment, and Extractive Industries: Africa; Oceania;O13 Economic Development: Agriculture; Natural Resources; Energy; Environment; Other Primary Products;O17 Formal and Informal Sectors; Shadow Economy; Institutional Arrangements;Q12 Micro Analysis of Farm Firms, Farm Households, and Farm Input Markets;Q16 Agricultural R&D; Agricultural Technology; Biofuels; Agricultural Extension Services;Q18 Agricultural Policy; Food Policy","January 2015 (Vol. 105, No.1 )"
When Does Regulation Distort Costs? Lessons from Fuel Procurement in US Electricity Generation,Steve Cicala,"L51 Economics of Regulation;L71 Mining, Extraction, and Refining: Hydrocarbon Fuels;L94 Electric Utilities;L98 Industry Studies: Utilities and Transportation: Government Policy;Q35 Hydrocarbon Resources;Q41 Energy: Demand and Supply; Prices;Q48 Energy: Government Policy","January 2015 (Vol. 105, No.1 )"
The Cost of Financial Frictions for Life Insurers,Ralph S. J. Koijen;Motohiro Yogo,G01 Financial Crises;G22 Insurance; Insurance Companies; Actuarial Studies;G28 Financial Institutions and Services: Government Policy and Regulation;G32 Financing Policy; Financial Risk and Risk Management; Capital and Ownership Structure; Value of Firms; Goodwill,"January 2015 (Vol. 105, No.1 )"
Optimal Allocation with Costly Verification,Elchanan Ben-Porath;Eddie Dekel;Barton L. Lipman,D82 Asymmetric and Private Information; Mechanism Design,"December 2014 (Vol. 104, No.12 )"
Ambiguity Aversion with Three or More Outcomes,Mark J. Machina,D81 Criteria for Decision-Making under Risk and Uncertainty,"December 2014 (Vol. 104, No.12 )"
"Hospital Choices, Hospital Prices, and Financial Incentives to Physicians",Kate Ho;Ariel Pakes,"G22 Insurance; Insurance Companies; Actuarial Studies;H51 National Government Expenditures and Health;I11 Analysis of Health Care Markets;I13 Health Insurance, Public and Private;I18 Health: Government Policy; Regulation; Public Health;J44 Professional Labor Markets; Occupational Licensing","December 2014 (Vol. 104, No.12 )"
Is It Whom You Know or What You Know? An Empirical Assessment of the Lobbying Process,Marianne Bertrand;Matilde Bombardini;Francesco Trebbi,"D72 Political Processes: Rent-seeking, Lobbying, Elections, Legislatures, and Voting Behavior;D82 Asymmetric and Private Information; Mechanism Design","December 2014 (Vol. 104, No.12 )"
The Effects of Poor Neonatal Health on Children's Cognitive Development,David Figlio;Jonathan Guryan;Krzysztof Karbownik;Jeffrey Roth,I12 Health Behavior;J13 Fertility; Family Planning; Child Care; Children; Youth;J24 Human Capital; Skills; Occupational Choice; Labor Productivity,"December 2014 (Vol. 104, No.12 )"
"Private Equity, Jobs, and Productivity",Steven J. Davis;John Haltiwanger;Kyle Handley;Ron Jarmin;Josh Lerner;Javier Miranda,"D24 Production; Cost; Capital; Capital, Total Factor, and Multifactor Productivity; Capacity;G24 Investment Banking; Venture Capital; Brokerage; Ratings and Ratings Agencies;G32 Financing Policy; Financial Risk and Risk Management; Capital and Ownership Structure; Value of Firms; Goodwill;G34 Mergers; Acquisitions; Restructuring; Voting; Proxy Contests; Corporate Governance;J23 Labor Demand;J63 Labor Turnover; Vacancies; Layoffs;L25 Firm Performance: Size, Diversification, and Scope","December 2014 (Vol. 104, No.12 )"
Hot and Cold Seasons in the Housing Market,L. Rachel Ngai;Silvana Tenreyro,"C78 Bargaining Theory; Matching Theory;R21 Urban, Rural, Regional, Real Estate, and Transportation Economics: Housing Demand;R31 Housing Supply and Markets","December 2014 (Vol. 104, No.12 )"
Reputation and Persistence of Adverse Selection in Secondary Loan Markets,V. V. Chari;Ali Shourideh;Ariel Zetlin-Jones,D82 Asymmetric and Private Information; Mechanism Design;G11 Portfolio Choice; Investment Decisions;G21 Banks; Depository Institutions; Micro Finance Institutions; Mortgages;G28 Financial Institutions and Services: Government Policy and Regulation,"December 2014 (Vol. 104, No.12 )"
The Dynamic Efficiency Costs of Common-Pool Resource Exploitation,Ling Huang;Martin D. Smith,"D24 Production; Cost; Capital; Capital, Total Factor, and Multifactor Productivity; Capacity;Q21 Renewable Resources and Conservation: Demand and Supply; Prices;Q22 Renewable Resources and Conservation: Fishery; Aquaculture","December 2014 (Vol. 104, No.12 )"
Trade Wars and Trade Talks with Data,Ralph Ossa,F12 Models of Trade with Imperfect Competition and Scale Economies; Fragmentation;F13 Trade Policy; International Trade Organizations;O19 International Linkages to Development; Role of International Organizations,"December 2014 (Vol. 104, No.12 )"
"Consume Now or Later? Time Inconsistency, Collective Choice, and Revealed Preference",Abi Adams;Laurens Cherchye;Bram De Rock;Ewout Verriest,E24 Employment; Unemployment; Wages; Intergenerational Income Distribution; Aggregate Human Capital; Aggregate Labor Productivity;F13 Trade Policy; International Trade Organizations;F16 Trade and Labor Market Interactions,"December 2014 (Vol. 104, No.12 )"
Present Bias and Collective Dynamic Choice in the Lab,Matthew O. Jackson;Leeat Yariv,"C91 Design of Experiments: Laboratory, Individual;D12 Consumer Economics: Empirical Analysis;D71 Social Choice; Clubs; Committees; Associations;D72 Political Processes: Rent-seeking, Lobbying, Elections, Legislatures, and Voting Behavior","December 2014 (Vol. 104, No.12 )"
Consumption and Debt Response to Unanticipated Income Shocks: Evidence from a Natural Experiment in Singapore,Sumit Agarwal;Wenlan Qian,D12 Consumer Economics: Empirical Analysis;D14 Household Saving; Personal Finance;E21 Macroeconomics: Consumption; Saving; Wealth,"December 2014 (Vol. 104, No.12 )"
Risk Matters: The Real Effects of Volatility Shocks: Comment,Benjamin Born;Johannes Pfeifer,"E13 General Aggregative Models: Neoclassical;E20 Consumption, Saving, Production, Investment, Labor Markets, and Informal Economy: General (includes Measurement and Data);E32 Business Fluctuations; Cycles;E43 Interest Rates: Determination, Term Structure, and Effects;F32 Current Account Adjustment; Short-term Capital Movements;F43 Economic Growth of Open Economies;O11 Macroeconomic Analyses of Economic Development","December 2014 (Vol. 104, No.12 )"
A Test of Racial Bias in Capital Sentencing,Alberto Alesina;Eliana La Ferrara,"J15 Economics of Minorities, Races, Indigenous Peoples, and Immigrants; Non-labor Discrimination;K41 Litigation Process;K42 Illegal Behavior and the Enforcement of Law","November 2014 (Vol. 104, No.11 )"
On the Selection of Arbitrators,Geoffroy de Clippel;Kfir Eliaz;Brian Knight,"D71 Social Choice; Clubs; Committees; Associations;D72 Political Processes: Rent-seeking, Lobbying, Elections, Legislatures, and Voting Behavior","November 2014 (Vol. 104, No.11 )"
Asset Demand Based Tests of Expected Utility Maximization,Felix Kubler;Larry Selden;Xiao Wei,D01 Microeconomic Behavior: Underlying Principles;D11 Consumer Economics: Theory;D81 Criteria for Decision-Making under Risk and Uncertainty,"November 2014 (Vol. 104, No.11 )"
A Biological Theory of Social Discounting,Arthur J. Robson;Balzs Szentes,D11 Consumer Economics: Theory;D71 Social Choice; Clubs; Committees; Associations;D91 Intertemporal Household Choice; Life Cycle Models and Saving;H43 Project Evaluation; Social Discount Rate,"November 2014 (Vol. 104, No.11 )"
Can Marginal Rates of Substitution Be Inferred from Happiness Data? Evidence from Residency Choices,Daniel J. Benjamin;Ori Heffetz;Miles S. Kimball;Alex Rees-Jones,D12 Consumer Economics: Empirical Analysis;I31 General Welfare; Well-Being,"November 2014 (Vol. 104, No.11 )"
Mismatch Unemployment,Ayegl ahin;Joseph Song;Giorgio Topa;Giovanni L. Violante,E24 Employment; Unemployment; Wages; Intergenerational Income Distribution; Aggregate Human Capital; Aggregate Labor Productivity;J22 Time Allocation and Labor Supply;J24 Human Capital; Skills; Occupational Choice; Labor Productivity;J41 Labor Contracts;J63 Labor Turnover; Vacancies; Layoffs,"November 2014 (Vol. 104, No.11 )"
Inefficient Hiring in Entry-Level Labor Markets,Amanda Pallais,J23 Labor Demand;J24 Human Capital; Skills; Occupational Choice; Labor Productivity;M51 Personnel Economics: Firm Employment Decisions; Promotions,"November 2014 (Vol. 104, No.11 )"
The Network Structure of International Trade,Thomas Chaney,D85 Network Formation and Analysis: Theory;F11 Neoclassical Models of Trade;F14 Empirical Studies of Trade;L24 Contracting Out; Joint Ventures; Technology Licensing,"November 2014 (Vol. 104, No.11 )"
"Structural Transformation, the Mismeasurement of Productivity Growth, and the Cost Disease of Services",Alwyn Young,"E23 Macroeconomics: Production;E24 Employment; Unemployment; Wages; Intergenerational Income Distribution; Aggregate Human Capital; Aggregate Labor Productivity;H56 National Security and War;J24 Human Capital; Skills; Occupational Choice; Labor Productivity;O41 One, Two, and Multisector Growth Models;O47 Empirical Studies of Economic Growth; Aggregate Productivity; Cross-Country Output Convergence","November 2014 (Vol. 104, No.11 )"
A Quantitative Analysis of the Used-Car Market,Alessandro Gavazza;Alessandro Lizzeri;Nikita Roketskiy,D23 Organizational Behavior; Transaction Costs; Property Rights;L62 Automobiles; Other Transportation Equipment; Related Parts and Equipment;L81 Retail and Wholesale Trade; e-Commerce,"November 2014 (Vol. 104, No.11 )"
Fertility Transitions along the Extensive and Intensive Margins,Daniel Aaronson;Fabian Lange;Bhashkar Mazumder,"I20 Education and Research Institutions: General;J13 Fertility; Family Planning; Child Care; Children; Youth;J15 Economics of Minorities, Races, Indigenous Peoples, and Immigrants; Non-labor Discrimination;J16 Economics of Gender; Non-labor Discrimination;J24 Human Capital; Skills; Occupational Choice; Labor Productivity","November 2014 (Vol. 104, No.11 )"
Claim Validation,Nabil Al-Najjar;Luciano Pomatto;Alvaro Sandroni,D82 Asymmetric and Private Information; Mechanism Design,"November 2014 (Vol. 104, No.11 )"
The Power of Communication,David Rahman,"D21 Firm Behavior: Theory;D43 Market Structure, Pricing, and Design: Oligopoly and Other Forms of Market Imperfection;L12 Monopoly; Monopolization Strategies;L13 Oligopoly and Other Imperfect Markets","November 2014 (Vol. 104, No.11 )"
The Human Capital Stock: A Generalized Approach,Benjamin F. Jones,E24 Employment; Unemployment; Wages; Intergenerational Income Distribution; Aggregate Human Capital; Aggregate Labor Productivity;J24 Human Capital; Skills; Occupational Choice; Labor Productivity,"November 2014 (Vol. 104, No.11 )"
Mandatory versus Discretionary Spending: The Status Quo Effect,T. Renee Bowen;Ying Chen;Hlya Eraslan,C78 Bargaining Theory; Matching Theory;E62 Fiscal Policy;H41 Public Goods;H61 National Budget; Budget Systems,"October 2014 (Vol. 104, No.10 )"
Behavioral Implementation,Geoffroy de Clippel,D11 Consumer Economics: Theory;D60 Welfare Economics: General;D83 Search; Learning; Information and Knowledge; Communication; Belief;R31 Housing Supply and Markets,"October 2014 (Vol. 104, No.10 )"
The Short-Run and Long-Run Effects of Behavioral Interventions: Experimental Evidence from Energy Conservation,Hunt Allcott;Todd Rogers,D12 Consumer Economics: Empirical Analysis;D83 Search; Learning; Information and Knowledge; Communication; Belief;L94 Electric Utilities;Q41 Energy: Demand and Supply; Prices,"October 2014 (Vol. 104, No.10 )"
"Environmental Regulations, Air and Water Pollution, and Infant Mortality in India",Michael Greenstone;Rema Hanna,I12 Health Production;J13 Fertility; Family Planning; Child Care; Children; Youth;O13 Economic Development: Agriculture; Natural Resources; Energy; Environment; Other Primary Products;Q53 Air Pollution; Water Pollution; Noise; Hazardous Waste; Solid Waste; Recycling;Q58 Environmental Economics: Government Policy,"October 2014 (Vol. 104, No.10 )"
Competition and Ideological Diversity: Historical Evidence from US Newspapers,Matthew Gentzkow;Jesse M. Shapiro;Michael Sinkinson,"D72 Political Processes: Rent-seeking, Lobbying, Elections, Legislatures, and Voting Behavior;K21 Antitrust Law;L13 Oligopoly and Other Imperfect Markets;L41 Monopolization; Horizontal Anticompetitive Practices;L82 Entertainment; Media;N42 Economic History: Government, War, Law, International Relations, and Regulation: U.S.; Canada: 1913-;N72 Economic History: Transport, Trade, Energy, Technology, and Other Services: U.S.; Canada: 1913-","October 2014 (Vol. 104, No.10 )"
Financial Networks and Contagion,Matthew Elliott;Benjamin Golub;Matthew O. Jackson,D85 Network Formation and Analysis: Theory;F34 International Lending and Debt Problems;F65 Economic Impacts of Globalization: Finance;G15 International Financial Markets;G32 Financing Policy; Financial Risk and Risk Management; Capital and Ownership Structure; Value of Firms; Goodwill;G33 Bankruptcy; Liquidation;H63 National Debt; Debt Management; Sovereign Debt,"October 2014 (Vol. 104, No.10 )"
Measuring the Effect of the Zero Lower Bound on Medium- and Longer-Term Interest Rates,Eric T. Swanson;John C. Williams,"E43 Interest Rates: Determination, Term Structure, and Effects;E52 Monetary Policy;E62 Fiscal Policy","October 2014 (Vol. 104, No.10 )"
Productivity Losses from Financial Frictions: Can Self-Financing Undo Capital Misallocation?,Benjamin Moll,E21 Macroeconomics: Consumption; Saving; Wealth;E22 Capital; Investment; Capacity;E23 Macroeconomics: Production;G32 Financing Policy; Financial Risk and Risk Management; Capital and Ownership Structure; Value of Firms; Goodwill;L26 Entrepreneurship;O16 Economic Development: Financial Markets; Saving and Capital Investment; Corporate Finance and Governance,"October 2014 (Vol. 104, No.10 )"
German Jewish migrs and US Invention,Petra Moser;Alessandra Voena;Fabian Waldinger,"J15 Economics of Minorities, Races, Indigenous Peoples, and Immigrants; Non-labor Discrimination;L65 Chemicals; Rubber; Drugs; Biotechnology;N62 Economic History: Manufacturing and Construction: U.S.; Canada: 1913-;O31 Innovation and Invention: Processes and Incentives;O34 Intellectual Property and Intellectual Capital","October 2014 (Vol. 104, No.10 )"
"Efficiency, Equality, and Labeling: An Experimental Investigation of Focal Points in Explicit Bargaining",Andrea Isoni;Anders Poulsen;Robert Sugden;Kei Tsutsui,"C78 Bargaining Theory; Matching Theory;D63 Equity, Justice, Inequality, and Other Normative Criteria and Measurement;D83 Search; Learning; Information and Knowledge; Communication; Belief","October 2014 (Vol. 104, No.10 )"
Efficient Entry in Competing Auctions,James Albrecht;Pieter A. Gautier;Susan Vroman,D44 Auctions;D82 Asymmetric and Private Information; Mechanism Design,"October 2014 (Vol. 104, No.10 )"
Private Equity Premium Puzzle Revisited,Katya Kartashova,G11 Portfolio Choice; Investment Decisions;G12 Asset Pricing; Trading Volume; Bond Interest Rates;L26 Entrepreneurship,"October 2014 (Vol. 104, No.10 )"
How Does Risk Selection Respond to Risk Adjustment? New Evidence from the Medicare Advantage Program,Jason Brown;Mark Duggan;Ilyana Kuziemko;William Woolston,"G22 Insurance; Insurance Companies; Actuarial Studies;H51 National Government Expenditures and Health;I13 Health Insurance, Public and Private;I18 Health: Government Policy; Regulation; Public Health","October 2014 (Vol. 104, No.10 )"
The Effect of Mergers in Search Markets: Evidence from the Canadian Mortgage Industry,Jason Allen;Robert Clark;Jean-Franois Houde,G21 Banks; Depository Institutions; Micro Finance Institutions; Mortgages;G34 Mergers; Acquisitions; Restructuring; Voting; Proxy Contests; Corporate Governance;K21 Antitrust Law;L13 Oligopoly and Other Imperfect Markets;L41 Monopolization; Horizontal Anticompetitive Practices,"October 2014 (Vol. 104, No.10 )"
Measuring the Impacts of Teachers I: Evaluating Bias in Teacher Value-Added Estimates,Raj Chetty;John N. Friedman;Jonah E. Rockoff,H75 State and Local Government: Health; Education; Welfare; Public Pensions;I21 Analysis of Education;J24 Human Capital; Skills; Occupational Choice; Labor Productivity;J45 Public Sector Labor Markets,"September 2014 (Vol. 104, No.9 )"
Measuring the Impacts of Teachers II: Teacher Value-Added and Student Outcomes in Adulthood,Raj Chetty;John N. Friedman;Jonah E. Rockoff,H75 State and Local Government: Health; Education; Welfare; Public Pensions;I21 Analysis of Education;J24 Human Capital; Skills; Occupational Choice; Labor Productivity;J45 Public Sector Labor Markets,"September 2014 (Vol. 104, No.9 )"
How Much Would You Pay to Resolve Long-Run Risk?,Larry G. Epstein;Emmanuel Farhi;Tomasz Strzalecki,D81 Criteria for Decision-Making under Risk and Uncertainty;G11 Portfolio Choice; Investment Decisions;G12 Asset Pricing; Trading Volume; Bond Interest Rates,"September 2014 (Vol. 104, No.9 )"
Beyond Happiness and Satisfaction: Toward Well-Being Indices Based on Stated Preference,Daniel J. Benjamin;Ori Heffetz;Miles S. Kimball;Nichole Szembrot,C43 Index Numbers and Aggregation; Leading indicators;C83 Survey Methods; Sampling Methods;D12 Consumer Economics: Empirical Analysis;I31 General Welfare; Well-Being,"September 2014 (Vol. 104, No.9 )"
Human Capital and the Wealth of Nations,Rodolfo E. Manuelli;Ananth Seshadri,E23 Macroeconomics: Production;I25 Education and Economic Development;J24 Human Capital; Skills; Occupational Choice; Labor Productivity;J31 Wage Level and Structure; Wage Differentials;O47 Measurement of Economic Growth; Aggregate Productivity; Cross-Country Output Convergence,"September 2014 (Vol. 104, No.9 )"
"Subways, Strikes, and Slowdowns: The Impacts of Public Transit on Traffic Congestion",Michael L. Anderson,"H76 State and Local Government: Other Expenditure Categories;J52 Dispute Resolution: Strikes, Arbitration, and Mediation; Collective Bargaining;L92 Railroads and Other Surface Transportation;R41 Transportation: Demand, Supply, and Congestion; Safety and Accidents; Transportation Noise","September 2014 (Vol. 104, No.9 )"
Wall Street and the Housing Bubble,Ing-Haw Cheng;Sahil Raina;Wei Xiong,D14 Household Saving; Personal Finance;D83 Search; Learning; Information and Knowledge; Communication; Belief;E32 Business Fluctuations; Cycles;E44 Financial Markets and the Macroeconomy;G01 Financial Crises;G21 Banks; Depository Institutions; Micro Finance Institutions; Mortgages;R31 Housing Supply and Markets,"September 2014 (Vol. 104, No.9 )"
Mortgage Modification and Strategic Behavior: Evidence from a Legal Settlement with Countrywide,Christopher Mayer;Edward Morrison;Tomasz Piskorski;Arpit Gupta,D14 Household Saving; Personal Finance;G21 Banks; Depository Institutions; Micro Finance Institutions; Mortgages;K22 Business and Securities Law;R31 Housing Supply and Markets,"September 2014 (Vol. 104, No.9 )"
Dynamic Free Riding with Irreversible Investments,Marco Battaglini;Salvatore Nunnari;Thomas R. Palfrey,D11 Consumer Economics: Theory;H41 Public Goods,"September 2014 (Vol. 104, No.9 )"
Pass-Through of Emissions Costs in Electricity Markets,Natalia Fabra;Mar Reguant,"D44 Auctions;L11 Production, Pricing, and Market Structure; Size Distribution of Firms;L94 Electric Utilities;L98 Industry Studies: Utilities and Transportation: Government Policy;Q52 Pollution Control Adoption Costs; Distributional Effects; Employment Effects;Q54 Climate; Natural Disasters; Global Warming","September 2014 (Vol. 104, No.9 )"
Fraudulent Claims and Nitpicky Insurers,Jean-Marc Bourgeon;Pierre Picard,D86 Economics of Contract: Theory;G22 Insurance; Insurance Companies; Actuarial Studies;K12 Contract Law;K42 Illegal Behavior and the Enforcement of Law,"September 2014 (Vol. 104, No.9 )"
Multiproduct Search and the Joint Search Effect,Jidong Zhou,D11 Consumer Economics: Theory;D43 Market Structure and Pricing: Oligopoly and Other Forms of Market Imperfection;D83 Search; Learning; Information and Knowledge; Communication; Belief,"September 2014 (Vol. 104, No.9 )"
